adj,noun,count
first,time,170929
last,night,129243
long,time,122351
old,man,118136
deep,breath,105147
young,man,104341
other,side,97305
front,door,85313
same,time,84747
few,minute,78985
last,time,78556
few,day,66218
good,friend,59602
other,hand,56926
blue,eye,56537
only,thing,54877
young,woman,53085
good,thing,52074
next,day,50776
little,girl,50138
other,man,48942
last,year,47163
many,time,45919
right,hand,45429
same,thing,45199
other,people,43346
more,time,42925
old,woman,42178
high,school,39893
good,idea,38926
few,moment,38608
whole,thing,37944
other,thing,37724
last,thing,37137
few,second,36869
many,people,36359
little,bit,35622
same,way,35478
few,hour,35003
first,place,34969
left,hand,34553
other,way,34267
first,thing,34237
only,way,33801
next,time,33558
living,room,33530
many,year,33510
next,morning,33141
dark,eye,32820
few,year,32688
much,time,32630
great,deal,32397
dark,hair,31611
few,week,31571
several,time,30769
last,week,29950
such,thing,29637
black,hair,29566
open,door,28767
good,time,28657
other,woman,28262
few,month,28240
back,door,27846
old,friend,27813
long,hair,27277
other,end,26759
long,moment,26711
green,eye,26199
good,man,25465
brown,eye,25362
most,people,25243
few,time,23793
human,being,23501
second,time,23488
many,thing,23218
first,day,23054
next,week,22811
good,night,22706
right,thing,21309
last,day,21287
little,boy,21148
long,way,21054
brown,hair,20462
past,year,20318
font,size,20261
next,door,20023
bad,thing,20011
big,man,19940
young,girl,19752
good,morning,19692
far,side,19469
far,end,19335
tall,man,19298
little,while,19088
dead,man,18780
good,way,18681
big,deal,18609
enough,time,18541
good,luck,18470
low,voice,18343
good,news,18280
low,lip,17922
free,hand,17207
own,way,17014
other,day,16916
few,step,16894
blond,hair,16840
hard,time,16818
young,lady,16607
last,month,16375
last,minute,16323
good,reason,16079
next,year,16054
old,lady,15956
small,room,15938
only,person,15676
beautiful,woman,15598
bottom,lip,15416
own,life,15289
whole,life,15286
short,time,15242
whole,body,15170
second,floor,15149
half,hour,15079
little,time,14766
other,girl,14716
black,eye,14653
small,town,14626
last,word,14593
bad,news,14401
red,hair,14394
other,word,14390
good,day,14288
other,time,14279
good,job,14274
whole,world,14136
good,look,14125
several,minute,13883
whole,time,13853
wide,eye,13725
few,people,13502
white,shirt,13378
deep,voice,13334
whole,lot,13195
early,morning,13176
little,thing,13142
little,man,13031
few,thing,12975
next,thing,12926
good,deal,12830
important,thing,12684
fresh,air,12679
new,life,12652
own,hand,12647
next,hour,12565
long,day,12476
small,smile,12443
entire,body,12347
entire,life,12321
left,arm,12192
small,align,12155
only,reason,12089
right,arm,11998
right,side,11956
opposite,side,11848
bare,foot,11803
hot,water,11716
left,side,11667
hard,work,11638
only,one,11631
new,one,11621
past,week,11581
few,word,11448
many,way,11232
blonde,hair,11137
other,guy,11123
