noun,h_adj,h_verb,h_adj_norm,h_verb_norm,delta,ratio,tau_entropy,variety_adj,variety_verb
viol,3.621928094887362,1.0,0.9787831638308189,1.0,2.621928094887362,3.621928094887362,1.1060841808459057,13,2
savour,3.2720552088742005,1.9669171866886992,0.9849867653397077,0.7609074352683902,1.3051380221855013,1.6635449784150285,1.0750661733014613,10,6
adversary,6.78668888210207,5.518070591661381,0.8442290426289679,0.9827882018596,1.2686182904406893,1.229902512004424,1.7788547868551605,263,49
modulator,2.5304930567574826,0.9182958340544896,0.9789283426941484,0.9182958340544896,1.612197222702993,2.755640353484745,1.105358286529258,6,2
scorpion,5.503306341653285,5.112995500567776,0.8680499284918866,0.9814840716882915,0.3903108410855083,1.0763370202540108,1.6597503575405672,81,37
broadening,1.974937501201927,0.0,0.9874687506009635,0.0,1.974937501201927,,1.0626562469951826,4,1
sportswriter,4.171036629292379,1.0,0.8981838495508445,1.0,3.171036629292379,4.171036629292379,1.5090807522457774,25,2
tangibility,0.0,0.0,0.0,0.0,0.0,,6.0,1,1
won,1.0754275201068875,1.584962500721156,0.2906215482540346,1.0,-0.5095349806142686,0.6785192202450021,4.546892258729827,13,3
lettre,2.347133416449625,2.75,0.9079951511075378,0.979569764547061,-0.4028665835503751,0.8535030605271363,1.460024244462311,6,7
carder,1.9784301194568872,0.0,0.7653612456292663,0.0,1.9784301194568872,,2.1731937718536685,6,1
alike,1.5304930567574826,1.584962500721156,0.9656336071428252,1.0,-0.05446944396367348,0.9656336071428252,1.1718319642858739,3,3
corset,5.273510682312443,3.698964254548909,0.7822497229386632,0.8421441117542894,1.5745464277635337,1.4256722475290724,2.0887513853066837,107,21
roo,1.3709505944546687,0.0,0.8649735207179273,0.0,1.3709505944546687,,1.6751323964103633,3,1
wrapping,6.232372671320329,4.907071770088826,0.9055202524120721,0.9814143540177651,1.3253009012315031,1.2700797875649399,1.4723987379396393,118,32
deduction,5.779491812772467,3.875,0.8397198243933836,0.8965905759940668,1.9044918127724673,1.4914817581348303,1.8014008780330824,118,20
frankness,5.663925646316984,3.327819531114783,0.9121456129565907,0.9619555747789698,2.3361061152022007,1.7019930297781596,1.4392719352170467,74,11
outself,1.9362600275315274,1.584962500721156,0.9681300137657637,1.0,0.3512975268103713,1.22164406202073,1.1593499311711817,4,3
nonentity,4.85657855856913,2.807354922057604,0.9546170085392772,1.0,2.049223636511526,1.7299481873170428,1.226914957303614,34,7
