subject,verb,object,count
abduction,take,place,19
absence,leave,hole,16
abuse,take,place,10
accident,take,place,43
accident,take,life,11
act,take,place,41
act,have,effect,17
act,have,consequence,11
action,take,place,112
action,have,consequence,101
action,make,sense,50
action,have,effect,43
action,save,life,31
action,speak,volume,24
action,have,reaction,23
action,affect,other,13
action,serve,purpose,12
action,cause,death,12
action,cause,reaction,11
activity,take,place,38
actor,play,part,11
actor,play,role,10
admiral,shake,head,21
admiration,know,bound,14
adrenaline,leave,body,14
adrenaline,flood,system,13
adrenaline,flood,body,10
adventure,take,place,19
affair,take,place,13
affair,run,course,11
afternoon,give,way,12
age,take,toll,12
age,make,difference,10
agent,shake,head,37
agent,open,door,34
agent,hold,hand,13
agent,enter,room,11
agent,take,note,10
aide,leave,room,11
air,leave,lung,180
air,fill,lung,175
air,hit,face,79
air,have,smell,65
air,hit,skin,62
air,clear,head,59
air,carry,scent,41
air,have,chill,35
air,escape,lung,32
air,leave,body,30
air,touch,skin,28
air,caress,skin,28
air,carry,smell,27
air,have,bite,25
air,fill,room,23
air,chill,skin,22
air,hold,chill,21
air,have,scent,20
air,burn,lung,20
air,leave,room,19
air,have,quality,19
air,enter,lung,18
air,take,chill,17
air,brush,skin,16
air,hit,lung,16
air,hold,scent,16
air,smell,musty,15
air,take,breath,14
air,have,taste,14
air,touch,face,14
air,smell,fresher,13
air,give,way,13
air,clear,mind,13
air,have,tang,13
air,kiss,skin,13
air,brush,face,12
air,carry,odor,11
air,have,feel,11
air,ruffle,hair,11
air,send,shiver,11
air,sear,lung,10
air,leave,chest,10
air,fill,car,10
air,hit,flesh,10
air,give,appetite,10
airline,lose,luggage,12
alcohol,have,effect,17
alcohol,loosen,tongue,14
alcohol,burn,throat,11
alcohol,give,courage,10
align,justify,align,55
allez,autour,fil,28
altercation,take,place,16
altimeter,read,foot,11
amount,make,difference,26
amount,change,mind,18
amount,change,fact,17
amount,have,effect,10
amusement,light,eye,37
amusement,color,voice,13
angel,spread,wing,12
angel,have,wing,11
anger,give,way,73
anger,take,place,25
anger,replace,fear,23
anger,fill,eye,23
anger,take,hold,22
anger,leave,face,17
anger,give,strength,16
anger,cloud,judgment,15
anger,lace,voice,13
anger,overcome,fear,12
anger,light,eye,11
