verb,object,count
abandon,child,39
abandon,ship,29
abandon,post,19
abandon,family,16
abandon,hope,7
abandon,vehicle,7
abandon,car,6
abandon,wife,6
abandon,position,6
abandon,kid,5
abandon,world,5
abandon,attempt,4
abandon,house,4
abandon,mother,4
abandon,daughter,4
abandon,breast,4
abandon,effort,4
abandon,body,4
abandon,boy,3
abandon,brother,3
abandon,chase,3
abdicate,throne,5
abduct,people,3
abduct,woman,3
abhor,vacuum,31
abhor,wickedness,3
abide,question,3
ablate,shot,5
abolish,penalty,3
abrade,skin,20
abrade,nipple,5
abridge,freedom,3
absorb,energy,13
absorb,blow,13
absorb,impact,12
absorb,water,12
absorb,heat,11
absorb,light,11
absorb,shock,10
absorb,attention,8
absorb,news,8
absorb,detail,8
absorb,word,7
absorb,sound,6
absorb,sight,6
absorb,round,5
absorb,information,4
absorb,oil,4
absorb,juice,3
absorb,stimulus,3
abuse,child,11
abuse,woman,7
abuse,power,5
abuse,position,4
abuse,mother,4
abuse,discretion,3
accelerate,road,3
accelerate,runway,3
accent,eye,4
accent,waist,4
accent,skin,3
accentuate,curve,18
accentuate,eye,7
accentuate,leg,6
accentuate,shoulder,6
accentuate,waist,6
accentuate,breast,5
accentuate,line,4
accentuate,significance,3
accentuate,musculature,3
accentuate,sharpness,3
accentuate,girth,3
accentuate,cheekbone,3
accept,offer,35
accept,invitation,32
accept,fact,29
accept,truth,17
accept,position,13
accept,idea,11
accept,defeat,9
accept,explanation,8
accept,surrender,8
accept,situation,7
accept,challenge,7
accept,term,7
accept,gift,6
accept,money,6
accept,pain,6
accept,responsibility,6
accept,proposal,5
accept,evidence,5
accept,event,5
accept,fate,5
accept,child,4
accept,story,4
accept,change,4
accept,card,4
accept,thing,4
accept,request,4
accept,order,4
accept,information,4
accept,offering,4
accept,marriage,4
accept,hand,4
accept,decision,4
accept,leadership,4
accept,death,3
accept,bastard,3
accept,drink,3
accept,reality,3
accept,role,3
accept,deal,3
accept,sacrifice,3
accept,possibility,3
accept,address,3
accept,lie,3
accept,job,3
access,network,4
access,database,4
access,information,4
access,screen,3
accommodate,people,3
accommodate,worshipper,3
accompany,word,10
accompany,story,9
accompany,husband,7
accompany,movement,7
accompany,man,6
accompany,father,4
accompany,remark,4
accompany,charge,4
accompany,woman,3
accompany,queen,3
accompany,image,3
accompany,voice,3
accompany,question,3
accomplish,feat,11
accomplish,task,8
accomplish,thing,7
accomplish,purpose,6
accomplish,goal,4
accomplish,mission,4
accomplish,work,3
accomplish,lot,3
accost,sens,3
accumulate,property,18
accuse,man,9
accuse,husband,5
accuse,woman,3
ache,bitch,5
ache,moment,3
ache,thinking,3
ache,torrent,3
achieve,effect,12
achieve,result,12
achieve,success,11
achieve,goal,11
achieve,thing,6
achieve,velocity,5
achieve,objective,5
achieve,orbit,4
achieve,speed,4
achieve,position,4
achieve,level,4
achieve,consciousness,4
achieve,slot,3
achieve,orgasm,3
achieve,greatness,3
achieve,power,3
acknowledge,status,186
acknowledge,presence,34
acknowledge,order,21
acknowledge,existence,11
acknowledge,support,8
acknowledge,word,8
acknowledge,fact,6
acknowledge,message,4
acknowledge,help,3
acquire,power,12
acquire,quality,10
acquire,edge,10
acquire,look,8
acquire,expression,6
acquire,signal,4
acquire,weapon,4
acquire,name,4
acquire,reputation,4
acquire,taste,4
acquire,sound,4
acquire,target,4
acquire,note,3
acquire,tinge,3
acquire,tone,3
acrorss,year,4
act,way,4
act,part,3
activate,field,5
activate,control,4
activate,device,4
activate,chute,3
